Player,Team,#,Pos.,GP,G,A,PTS,PPG,PPA,SHG,SHA,PIM,HT
EASTON HOOKS,Penn St. Behrend,10,C,15,7,9,16,2,3,0,1,36,0
MAX HAASE,Kennesaw State University,"26, 71","F, RW",20,7,9,16,2,3,1,0,12,0
CONNOR STORNER,University of Mississippi,"22, 43",D,17,6,10,16,4,4,0,0,10,0
EVAN NEWKIRK,St John Fisher College,23,F,17,6,10,16,2,1,1,1,0,0
NATHAN FEASER,Penn State University - Harrisburg,11,F,27,6,10,16,0,1,1,0,6,0
BRANTLEY MILLER,"Embry-Riddle University - FCHC , Embry-Riddle University",44,"D, F",30,6,10,16,1,7,0,0,30,0
Embry-Riddle University - FCHC,44,D,3,0,2,2,0,2,0,0,0,0,
Embry-Riddle University,44,F,27,6,8,14,1,5,0,0,30,0,
JACOB PETRAS,Penn State University - Harrisburg,9,F,15,5,11,16,3,4,0,1,8,0
JOSEPH LOTEMPIO,Buffalo State College,28,F,17,5,11,16,1,4,0,0,16,0
KYLE JENKINS,Penn State University - Harrisburg,22,D,27,5,11,16,1,1,0,0,14,0
CAMERON DALY,Fairfield University,10,F,19,4,12,16,0,0,1,0,6,0
PHILIP NATOSI,Alvernia University,12,F,20,3,13,16,0,2,0,0,0,0
MICHAEL DEROSA,Kutztown University D2,2,D,17,2,14,16,1,1,0,2,17,0
GRIFFEN O'SHAUGHNESSY,University of Delaware,"11, 13, 21",D,19,1,15,16,1,7,0,1,21,0
OWEN OBRIEN,Coastal Carolina University,4,F,5,13,2,15,2,1,0,0,0,4
RYAN SCHAEFFER,York College of Pennsylvania,8,F,9,11,4,15,2,1,0,0,19,1
NOLAN GORECKI,SUNY Geneseo,"16, 56, 96",F,5,9,6,15,0,0,0,0,12,2
THOMAS RYERSE,Christopher Newport University,28,F,6,9,6,15,0,0,0,0,0,2
DANIEL OAR,Gannon University,19,RW,10,9,6,15,5,2,2,0,14,1
ZACH JACOBSON,Georgia Tech,"25, 8",F,25,9,6,15,1,1,0,0,10,1
JOSH SHAMES,Florida State University,72,LW,16,8,7,15,2,5,2,0,10,1
JACK MANWARE,University of Tampa,77,RW,19,8,7,15,0,0,0,0,6,1
ANTHONY MANCINE,University of Tampa - FCHC,9,F,23,8,7,15,2,0,1,0,56,0
SPENCER SMITH,Babson College,15,D,12,7,8,15,2,0,1,2,31,0
JOHN CALLAHAN,Widener University,26,–,13,7,8,15,1,1,0,0,6,1
JOSEPH DEFILIPPIS III,Kutztown University D3,26,D,13,7,8,15,2,2,0,1,43,0
HARRISON HABER,University of Florida,98,F,14,7,8,15,2,1,0,0,43,0
ROMAN MARULLO,Farmingdale State College - D3,19,F,14,7,8,15,1,0,0,1,14,0
JACK OWEN-TURNER,Clemson University,25,LW,17,7,8,15,2,3,0,0,13,0
DEVIN ROYE,Hofstra University,92,F,18,7,8,15,1,1,3,1,2,0
AUGUSTIN ALDRIDGE,University of Tampa,18,F,21,7,8,15,1,0,0,0,20,0
THOMAS CATANESE,SUNY Brockport,17,"F, RW",12,6,9,15,0,2,2,0,20,0
CHARLES SCHMIDL,Niagara County Community College,88,F,12,6,9,15,2,0,2,0,6,0
AIDAN ZIELAZNICKI,Kutztown University D2,49,F,17,6,9,15,1,4,1,0,16,0
PERRY CARPENTER,Kutztown University D2,83,D,17,5,10,15,1,3,0,0,15,0
ELI KIRBY,University of Tampa - FCHC,18,D,19,5,10,15,2,1,0,1,12,0
MATTHEW KENNEDY,Widener University,97,D,15,4,11,15,1,1,0,1,18,0
RICK KIMBLE,Ramapo College,22,D,18,3,12,15,1,2,0,0,10,0
ALEXANDER BERG,University of Central Florida,23,"D, F",23,2,13,15,0,6,0,0,4,0
JOE CORCORAN,Franklin & Marshall College,43,F,6,12,2,14,2,0,0,0,32,2
AIDAN BITTINGER-ESSER,Widener University,72,F,15,12,2,14,1,1,1,0,13,0
ALDEN SPOTTS,"Millersville University , Millersville ACHA D2",20,F,14,10,4,14,2,2,0,0,6,1
Millersville University,20,F,13,10,4,14,2,2,0,0,6,1,
Millersville ACHA D2,20,–,1,0,0,0,0,0,0,0,0,0,
PHILLIP VANDERLAAT,University of Florida,27,C,14,10,4,14,4,1,0,1,4,0
DONGYOON SHIN,Cornell University,19,F,9,9,5,14,3,2,0,1,16,0
JOHN MCKEON,Clemson University,11,F,17,9,5,14,3,1,0,0,30,0
NICHOLAS KAJTAZI,University of Delaware,"10, 14, 3, 5",F,16,8,6,14,1,1,1,0,16,0
CONNOR BAKER,University of Mississippi,17,F,17,8,6,14,3,1,1,1,10,0
ALEX UMBRO,Quinnipiac University,14,D,22,8,6,14,2,1,0,0,36,0
DEREK COSTANZO,Embry-Riddle University,3,D,27,8,6,14,2,2,1,0,50,0
ADRIAN DEBRAH,"Embry-Riddle University , Embry-Riddle University - FCHC","24, 4","F, D",30,8,6,14,2,2,0,0,8,0
Embry-Riddle University,24,F,27,7,2,9,1,1,0,0,8,0,
Embry-Riddle University - FCHC,"24, 4","D, F",3,1,4,5,1,1,0,0,0,0,
ZACHARY DEEMER,Neumann University,13,C,10,7,7,14,2,1,0,0,2,1
ZACH ADRA,Christopher Newport University,"41, 88","F, LW",11,7,7,14,1,1,0,0,14,0
SAM  MOORE,Niagara University,21,F,14,7,7,14,2,1,0,0,6,1
BEN RODGERS,Penn St. Behrend,11,C,15,7,7,14,1,3,1,2,2,0
BRADY FITZPATRICK,St Bonaventure University,8,D,17,7,7,14,3,2,0,0,10,1
AIDAN UMHAFER,University of Delaware,27,F,21,7,7,14,0,1,0,0,2,0
HUNTER GLASSER,University of North Carolina - Charlotte,49,F,22,7,7,14,0,0,1,0,9,0
PARKER MORROW,SUNY Fredonia,5,F,10,6,8,14,1,2,1,0,6,0
CONNOR SANTOS,Catholic University,23,D,11,6,8,14,2,4,0,0,15,0
MACALLISTER STAMBAUGH,Florida State University,"12, 36, 37",F,16,6,8,14,3,3,1,0,22,0
DANIEL MORRIS,Kutztown University D2,25,C,16,6,8,14,1,1,0,0,13,0
CONNOR MCMAHAN,University of Tampa,13,C,19,6,8,14,0,3,0,0,2,0
CHARLES PIGGOT,Fordham University,12,"D, F",20,6,8,14,1,3,0,0,28,0
CHARLES CAMPBELL,University of Georgia,13,D,23,6,8,14,6,2,0,1,29,0
NOAH MADEY,University of South Carolina,10,C,25,6,8,14,0,0,0,1,32,0
JONATHAN MATTA,Christopher Newport University,"16, 19","C, F",9,5,9,14,0,1,0,1,10,0
NATHANIEL SIMONS,University At Albany,12,"C, F",14,5,9,14,2,1,0,0,12,0
SAWYER COSEGLIA,University of Miami,8,"C, F",18,5,9,14,1,3,2,1,38,0
ZACH GLASS,Quinnipiac University,19,C,20,5,9,14,1,1,0,2,4,0
DOMINIC O'NEILL,University of Alabama,"22, 93","C, F",20,4,10,14,1,1,0,0,8,0
CHRISTOPHER ROBINSON,University of Central Florida,11,C,29,4,10,14,1,7,0,0,4,0
RYLEY PICKREM,Florida Southern College - FCHC,21,D,19,3,11,14,0,1,0,0,30,0
CAMERON BASS,University at Buffalo,10,RW,15,2,12,14,1,2,0,1,2,0
ANTHONY FLORKOWSKI,Alvernia University,6,D,20,1,13,14,1,1,0,2,12,0
BRAYDEN MORGAN,Penn St. Behrend,"17, 3",C,13,10,3,13,3,0,2,0,38,1
LAIN SINGER,University of Delaware,"2, 25, 5, 6, 8",C,16,10,3,13,3,1,1,1,0,2
ISAAC BLANK,"University of Florida , University of Florida (D3)",15,F,17,10,3,13,4,2,0,0,6,2
University of Florida,15,F,13,2,1,3,0,0,0,0,4,0,
University of Florida (D3),15,F,4,8,2,10,4,2,0,0,2,2,
LLEYTON BUSCHER,University of Tampa - FCHC,"37, 44",F,18,10,3,13,1,0,0,1,0,0
KYLE MARTIN,Gannon University,2,C,11,9,4,13,2,1,0,1,74,0
JULIAN YANG,Vanderbilt University,27,C,12,9,4,13,1,1,0,0,4,1
CADEN BURGIO,Canisius College,16,C,12,9,4,13,1,1,1,0,0,1
ALEXANDER CHACONAS,Quinnipiac University,17,F,15,9,4,13,0,2,1,0,7,0
TUCKER TRASK,Niagara University,17,F,20,9,4,13,5,3,0,0,12,0
JOHN BUNCH,University of Tennessee,40,F,20,9,4,13,5,2,3,1,6,1
TRAE CHARD,University of Central Florida,3,C,29,9,4,13,4,2,0,0,44,0
LIAM MCGOWAN,SUNY Fredonia,22,LW,10,8,5,13,4,1,0,0,7,1
SEAN MCCARTHY,SUNY Brockport,15,C,10,8,5,13,0,2,0,0,12,0
CHRISTOPHER MCFARLAND,Fordham University,20,D,15,8,5,13,2,2,1,0,6,0
WILLIAM MACDONALD,University of Georgia,7,C,23,8,5,13,3,1,0,0,51,0
JAKE THOMAS,Babson College,"5, 6",RW,9,7,6,13,1,1,1,1,4,0
JOSEPH MORRELLO,SUNY Cortland,6,"C, F",15,7,6,13,2,1,1,0,9,1
SAMUEL EDWARDS,Auburn University,97,F,16,7,6,13,2,1,1,0,4,0
CONNOR NICHOLSON,"University of Florida , University of Florida (D3)",20,F,18,7,6,13,1,0,1,0,28,0
University of Florida,20,F,16,6,4,10,1,0,1,0,28,0,
University of Florida (D3),20,–,2,1,2,3,0,0,0,0,0,0,
DOUGLAS HOLMES,Florida Southern College - FCHC,8,–,19,7,6,13,0,1,0,0,10,0
DANIEL COTNOIR,Kennesaw State University,20,"C, F",20,7,6,13,0,1,2,1,15,0
DREW KIRILOFF,East Carolina University,44,F,4,6,7,13,0,0,0,0,0,1
DOMINICK LIBERTA,Kutztown University D2,8,D,17,6,7,13,0,2,0,0,2,0
DAVID STUTZ,St Bonaventure University,14,D,18,6,7,13,2,3,0,0,14,0
ALEC DOBINSKI,University at Buffalo,16,RW,19,6,7,13,2,2,0,0,10,0
ALEXANDER STEIN,Susquehanna University,8,D,7,5,8,13,0,3,0,0,22,0
ZACH PIERCE,Anna Maria College,23,F,8,5,8,13,1,0,1,0,0,0
KIERAN OGLE,University of Tennessee,13,F,9,5,8,13,2,6,0,0,4,1
HAYDEN SUTTER,University of Binghamton,81,F,10,5,8,13,0,1,0,0,8,0
MATHIEU SCHNEIDER,University of Miami,"10, 20",C,12,5,8,13,0,1,1,1,6,0
CODY HEMBERGER,Kutztown University D3,37,RW,13,5,8,13,1,0,0,0,6,0
STEFANO LANCI,Babson College,24,LW,13,5,8,13,1,2,0,0,6,0
MYLES SCHENFIELD,Erie Community College,24,F,14,5,8,13,1,0,1,1,8,0
THOMAS WAHL,St Bonaventure University,24,F,18,5,8,13,0,0,0,0,6,0
DREW MERINO,University of Tennessee,14,F,19,5,8,13,3,4,0,0,12,0
JASON VENT,Quinnipiac University,77,D,19,5,8,13,2,3,0,1,37,0
RYAN MCGOWAN,University of South Carolina,4,D,22,5,8,13,1,1,1,0,30,1
BRANDON KAYS,Millersville University,8,C,10,4,9,13,0,5,0,0,14,0
CONNER KALUZNY,Niagara County Community College,12,F,12,4,9,13,0,3,1,0,2,0
JACKSON CHARLES,Middle Tennessee State University,19,"C, D, F",18,4,9,13,0,0,1,2,4,0
MICHAEL PETTIJOHN,University of Tampa,20,D,27,4,9,13,4,3,0,0,12,0
CALEB LEE,Niagara County Community College,9,F,12,3,10,13,0,6,0,0,10,0
SPENCER STEWART,Babson College,63,D,13,3,10,13,0,1,1,1,4,0
DILLON PASSERO,University of Tampa - FCHC,6,D,20,3,10,13,0,1,0,0,6,0
JACOB KENEIPP,University of Alabama,19,D,20,3,10,13,0,2,0,0,12,0
ROBERT LYNOTT,Farmingdale State College - D2,23,D,25,2,11,13,1,2,0,1,8,0
JAKE THAIN,University of Tampa,21,D,28,2,11,13,0,0,0,0,20,0
JACOB SALASKI,University of Georgia,29,LW,29,2,11,13,0,3,0,0,18,0
JASON KUCHEY,Niagara County Community College,5,D,10,1,12,13,1,1,0,0,4,0
TYLER OAKLEY,University of South Carolina,15,D,25,1,12,13,0,5,0,1,22,0
RYAN HAHN,Buffalo State College,22,D,17,0,13,13,0,3,0,2,26,0
PETER PASZKIEL,Ramapo College,63,C,17,9,3,12,1,0,2,0,8,1
ANTHONY GENAU,Niagara County Community College,27,F,11,8,4,12,0,1,1,0,6,0
CHARLES HADDICK,Penn State University - Harrisburg,91,F,15,8,4,12,1,1,0,0,33,0
DANIEL BARRETT,Kutztown University D2,19,LW,17,8,4,12,3,0,0,0,12,0
CONNOR MOMROW,Fairfield University,"17, 93, 96",F,18,8,4,12,0,1,0,0,13,0
NICHOLAS CONNER,Gettysburg College,19,F,4,7,5,12,1,0,1,0,4,1
JONATHAN SCHWARZ,Salisbury University,9,C,10,7,5,12,2,1,0,0,20,0
TYLER MCENERY,Old Dominion University,"21, 28",F,14,7,5,12,0,0,1,0,2,0
JOHN GLASCOE,Buffalo State College,11,F,15,7,5,12,2,1,1,0,4,1
HAMILTON REESE,Florida State University,66,C,19,7,5,12,2,1,0,0,14,1
ADAM CARTER,University of Tennessee,7,F,20,7,5,12,2,0,1,0,4,0
ERIC SHEEHAN,University of North Carolina - Charlotte,13,F,22,7,5,12,0,0,0,0,2,0
LUCAS KIRK,Alvernia University,99,F,3,6,6,12,3,3,1,0,0,1
SEAN BARBA,York College of Pennsylvania,9,LW,10,6,6,12,0,3,1,0,2,0
DENIS BROWN,Cornell University,"17, 5","F, LW",11,6,6,12,3,0,1,0,34,0
KEVIN MIKOLANDA,Lynn University,27,D,12,6,6,12,2,1,0,1,14,0
HUNTER ARSENAULT,High Point University,10,C,13,6,6,12,1,1,0,0,2,0
DYLAN DEPELLEGRIN,Old Dominion University,2,F,14,6,6,12,1,2,0,0,4,1
TURNER KAUFMANN,Embry-Riddle University,88,F,16,6,6,12,2,1,1,0,10,0
DANIEL FARRICIELLI JR,University of Delaware,"15, 17",F,17,6,6,12,2,3,0,1,26,0
JONATHAN STUTZMAN,Mass Maritime Academy,27,F,18,6,6,12,1,2,0,0,20,0
MICHAEL CALI,Christopher Newport University,6,RW,11,5,7,12,2,2,0,0,32,0
ETHAN SPAMPINATO,Alfred State College,15,C,12,5,7,12,0,3,0,0,4,0
WESLEY KUNIN,University of New Hampshire - D3,15,F,12,5,7,12,2,1,0,0,25,0
MICHAEL TYER,Mass Maritime Academy,24,F,14,5,7,12,0,3,1,0,17,0
GARY RAGUSA,Ramapo College,11,C,14,5,7,12,1,2,0,1,30,0
HARRIS MILSON,University of Mississippi,13,F,17,5,7,12,1,3,1,0,4,0
JOSEPH MOLLOY,Fairfield University,71,F,23,5,7,12,1,1,0,0,18,0
THOMAS YOCUM,"Widener University , Georgia Tech","2, 3",D,25,5,7,12,1,1,0,0,31,0
Widener University,2,D,1,1,0,1,0,0,0,0,0,0,
Georgia Tech,3,D,24,4,7,11,1,1,0,0,31,0,
AIDEN HICKS,Gannon University,"11, 26, 9",F,8,4,8,12,2,1,0,0,4,0
MATTHEW BRKLJACIC,University of Florida,"2, 76",D,15,4,8,12,1,3,1,0,14,0
JORDAN CHAMBERLAIN,Liberty University,10,D,17,4,8,12,1,2,1,0,2,0
CHRISTOPHER COMUNALE,University of Central Florida,15,F,17,4,8,12,2,2,0,0,20,0
CHRISTIAN ROMEO,Clemson University,"17, 21",D,18,4,8,12,0,2,0,1,26,0
KEITH MOSS,University of South Florida,4,D,28,4,8,12,1,5,0,0,18,0
JIMMY WYNES,Widener University,21,LW,13,3,9,12,0,3,0,0,8,0
MARK VAUGHAN,Fairfield University,2,D,14,3,9,12,0,1,0,1,12,0
RYAN KELLY,Buffalo State College,13,D,18,3,9,12,1,1,0,1,20,0
JEREMY BORSUK,"Farmingdale State College - D2 , Farmingdale State College - D3",61,F,20,3,9,12,1,0,0,1,4,0
Farmingdale State College - D2,61,F,17,1,8,9,1,0,0,1,4,0,
Farmingdale State College - D3,61,–,3,2,1,3,0,0,0,0,0,0,
MICHAEL WILLIAMS,Liberty University,20,LW,21,3,9,12,0,0,0,0,6,0
SEAN JOYCE,University of Tampa - FCHC,43,D,21,3,9,12,0,3,1,0,10,0
CHRISTOPHER KOSAKOWSKI,Quinnipiac University,10,D,21,3,9,12,1,3,0,0,17,0
WILL TISSUE,Penn State University - Harrisburg,7,D,24,3,9,12,0,1,0,0,8,0
TEDDY LAMBERT,Georgia Tech,20,D,30,3,9,12,1,2,0,0,2,0
ROBERT RYPKEMA,SUNY Cortland,24,D,14,2,10,12,1,4,0,0,36,0
JACK O'BRYAN,University of Binghamton,47,D,17,2,10,12,0,2,0,1,10,0
BENJAMIN BROMBOS,Erie Community College,5,D,19,1,11,12,0,1,0,1,4,0
LUKE SPRAGUE,Salisbury University,19,"F, LW",7,8,3,11,1,0,0,0,10,1
BRENDAN ROSENFELD,University of Central Florida,8,F,24,8,3,11,3,2,1,0,8,0
MASON EICHMANN,Anna Maria College,12,F,7,7,4,11,2,0,1,0,6,0
COLE NEWMAN,Buffalo State College,29,F,17,7,4,11,1,1,0,0,35,0
HARRISON PHILLIPS,Kennesaw State University,8,"C, F",19,7,4,11,0,1,1,1,19,0
JACK HEALY,University of Tampa - FCHC,77,C,4,6,5,11,1,2,0,1,0,0
MATT LONGFIELD,Fairfield University,11,F,12,6,5,11,1,0,0,0,4,0
NICHOLAS SCOTT,Kutztown University D3,16,RW,12,6,5,11,0,1,0,0,11,0
CAMERON CSWAYKUS,Niagara County Community College,17,F,12,6,5,11,0,1,0,0,13,0
KEEGAN NUSBAUM,Old Dominion University,3,"C, F",13,6,5,11,1,0,1,1,13,1
SEAN PRIEVE,Florida Southern College - FCHC,"12, 18",F,13,6,5,11,1,0,0,0,12,0
MICHAEL DOGOLO,Southern Connecticut State University,22,F,15,6,5,11,0,0,0,0,25,1
SEAN KELLEY,High Point University,41,C,16,6,5,11,0,1,0,0,21,0
CONNOR O'BRIEN,St Bonaventure University,61,F,17,6,5,11,0,2,0,0,8,0
DANIEL YANICH,Penn State University - Harrisburg,36,D,24,6,5,11,0,0,0,0,19,0
CHRISTOPHER SIRRELL,"Embry-Riddle University - FCHC , Embry-Riddle University",19,F,25,6,5,11,1,1,0,0,12,1
Embry-Riddle University - FCHC,19,F,1,3,0,3,1,0,0,0,12,1,
Embry-Riddle University,19,F,24,3,5,8,0,1,0,0,0,0,
JOE TORRILLO,St John Fisher College,14,F,8,5,6,11,0,0,0,2,4,1
GAVIN ZERKLE,Embry-Riddle University - FCHC,44,F,9,5,6,11,1,2,1,0,10,0
AUSTIN WALKER,Alfred State College,68,RW,11,5,6,11,1,1,0,1,4,0
SHANE BRENNAN,University of Delaware,4,F,14,5,6,11,3,0,0,0,48,0
DANIEL HAMMER,Florida Atlantic University,25,F,16,5,6,11,0,2,1,0,16,0
BEN LAVIGNE,LeMoyne College,17,–,8,4,7,11,0,1,1,0,11,0
NOLAN JOHNSON,York College of Pennsylvania,11,D,10,4,7,11,0,2,1,0,10,1
ANTHONY CLONTZ,St Bonaventure University,27,LW,11,4,7,11,1,0,0,1,10,0
TANNER BOND,Middle Tennessee State University,2,F,18,4,7,11,1,1,0,0,14,0
MATTHEW POSILLIPO,Quinnipiac University,91,F,21,4,7,11,0,1,0,2,35,0
CHAD LIZINE,University of South Carolina,8,F,22,4,7,11,1,1,1,0,8,0
AVERY PRUDEN,University of South Carolina,18,D,24,4,7,11,1,1,0,1,18,0
DECLAN CLOUGHERTY,Georgia Tech,18,F,25,4,7,11,0,0,0,1,8,0
CALEB DOWNS,East Carolina University,"16, 91",F,6,3,8,11,2,0,0,0,10,0
DENNIS KIRSCHBAUM,Farmingdale State College - D2,37,F,7,3,8,11,1,2,0,0,4,0
MATTHEW MARCINELLI,University At Albany,16,LW,12,3,8,11,1,3,0,0,2,0
AYDEN SCHMITT,Old Dominion University,8,"C, F",14,3,8,11,1,2,1,0,10,0
JOHN SKAKUJ,University at Buffalo,21,D,17,3,8,11,1,0,0,1,15,0
JACK SANTORO,University of South Carolina,16,F,22,3,8,11,1,0,0,1,0,0
ETHAN DUNN,Liberty University,28,C,23,3,8,11,0,0,1,0,12,0
DEVIN KELLEY,Fairfield University,"3, 96, 98",D,24,3,8,11,0,1,0,0,26,0
D GERHAROT,Wake Forest University ACHA D2,29,F,3,2,9,11,0,0,0,0,0,0
TRISTAN ALLMENDINGER,York College of Pennsylvania,10,D,9,2,9,11,0,3,0,1,20,0
DYLAN NASSOIY,Millersville University,88,LW,13,2,9,11,0,1,0,0,10,0
DAVID O'DONOGHUE,St Bonaventure University,22,D,16,2,9,11,0,2,0,0,10,0
TY WADDELL,University of Mississippi,"4, 91",C,17,2,9,11,1,0,0,0,12,0
DANIEL KLUTKOSKI,Ramapo College,13,LW,18,2,9,11,1,0,1,0,2,0
RYAN DUMONT,Alvernia University,98,D,19,2,9,11,0,2,0,0,26,0
EASTON GOLLAHER,Niagara University,7,D,21,2,9,11,0,1,0,0,26,0
ROBERT WITWER,University of Georgia,"14, 18, 8",F,25,2,9,11,0,0,0,0,25,0
DANIEL QUICK,Niagara University,"10, 44",D,22,1,10,11,0,3,0,0,12,0
BEN CAREY,Niagara County Community College,16,D,11,9,1,10,4,0,0,0,6,1
JASON BRENNAN,Farmingdale State College - D2,79,D,25,9,1,10,8,0,0,0,46,0
BEN LUBLIN,Georgia Tech,11,F,19,8,2,10,2,1,1,1,2,0
BRODY SMOJICE,University of South Carolina,24,F,22,8,2,10,2,0,1,0,10,0
VAL SVERDLOV,Vanderbilt University,16,F,9,7,3,10,4,2,0,0,18,0
MATTHEW DUANE,Mass Maritime Academy,14,F,16,7,3,10,1,0,1,1,6,0
TYLER GORALSKI,Farmingdale State College - D2,20,F,25,7,3,10,0,1,0,0,24,0
KYLE KADZIOLKA,Colgate University,"11, 5",C,4,6,4,10,0,1,0,0,2,1
NICHOLAS LINSTAD,SUNY Cortland,81,"C, F",14,6,4,10,0,1,1,0,2,0
EVAN BRISLAND,Old Dominion University,7,D,14,6,4,10,1,1,0,0,8,1
SEAN MCDONNELL,High Point University,15,D,20,6,4,10,1,0,0,2,6,0
NICHOLAS JOHNSON,University of North Carolina - Charlotte,72,F,22,6,4,10,1,0,0,0,0,0
MATTHEW ANGILELLA,University of Central Florida,21,F,23,6,4,10,2,2,0,0,20,0
NOLAN GORECKI,SUNY Geneseo,"5, 96",F,4,5,5,10,0,1,1,1,24,1
LEIF BENNER,John Hopkins University,44,D,6,5,5,10,0,3,1,1,29,1
TYLER KELLY,University of Tampa,95,F,7,5,5,10,0,0,0,0,4,1
CHRIS ZAWISLAK,Alvernia University,8,F,10,5,5,10,0,0,0,0,6,1
KLYE LUBEY,St John Fisher College,19,F,13,5,5,10,0,0,0,0,4,0
CHARLES RONGO,University of South Florida,23,F,14,5,5,10,3,2,0,0,14,0
ERIC FRIEMAN,Ramapo College,88,RW,15,5,5,10,0,1,0,0,2,0
ERIC DREBUSHENKO,Alvernia University,14,F,18,5,5,10,0,1,0,0,2,0
CHRISTIAN CABAL,Farmingdale State College - D2,10,D,19,5,5,10,2,2,0,0,9,1
BRYCE VITALE,Fordham University,4,C,20,5,5,10,1,1,0,0,12,0
JUSTIN FOWLKES,Coastal Carolina University,11,F,5,4,6,10,1,1,0,1,2,0
RALPH TRIBOLETTI,Neumann University,21,F,9,4,6,10,1,1,1,0,2,0
KYLE FRASER,Vanderbilt University,17,F,10,4,6,10,0,1,0,0,8,0
DALTON BOHL,Kutztown University D3,22,C,12,4,6,10,0,1,0,0,14,0
JOSHUA SEYMOUR,Alfred State College,24,D,12,4,6,10,1,3,0,1,6,0
JAKE WATROUS,Southern Connecticut State University,"15, 4",C,12,4,6,10,0,0,0,0,4,0
LUKE NORTON,University of New Hampshire - D3,25,F,13,4,6,10,1,1,0,0,4,0
MAX MENCIMER,University of Miami,33,D,14,4,6,10,2,3,0,0,52,0
CONNOR OWEN,Old Dominion University,"16, 6",D,14,4,6,10,0,2,0,0,41,0
SEAN PARKS,Penn St. Behrend,16,F,15,4,6,10,2,2,0,1,4,0
CONOR HUIE,University of Mississippi,3,C,17,4,6,10,0,1,0,0,19,0
TYLER STAROPOLI,"Embry-Riddle University - FCHC , Embry-Riddle University",41,F,19,4,6,10,0,1,0,1,97,0
Embry-Riddle University - FCHC,41,F,17,3,5,8,0,1,0,1,82,0,
Embry-Riddle University,41,–,2,1,1,2,0,0,0,0,15,0,
CONNOR BROOKS,University of Delaware,"1, 15, 16, 22, 6",D,20,4,6,10,0,1,0,0,0,0
JAMES MCGARRY,Farmingdale State College - D2,4,F,22,4,6,10,0,0,1,0,2,0
ROBERT DICICCO,University of South Carolina,25,D,23,4,6,10,1,4,1,1,26,0
KYLE KASERMAN,Florida Atlantic University,10,D,23,4,6,10,0,2,0,0,2,0
BRYCE KORNER,Embry-Riddle University,83,D,29,4,6,10,1,1,0,1,35,0
CONNOR MORRIS,University of Alabama - Huntsville,"18, 26",LW,14,3,7,10,0,1,0,0,12,0
CLAYTON CLEVELAND,Florida Atlantic University,27,D,15,3,7,10,1,2,1,0,16,0
NOLAN WARSAW,University of Delaware,33,D,21,3,7,10,1,1,0,0,8,0
JEFFREY MATTHEWS,Fairfield University,24,D,23,3,7,10,0,2,0,0,10,0
DANIEL NOSS,Penn State University - Harrisburg,27,D,26,3,7,10,1,3,0,0,2,0
BENJAMIN LANGLOTZ,SUNY Cortland,3,D,14,2,8,10,0,4,0,1,18,0
RYAN SHEFLIN,Coastal Carolina University,26,F,5,1,9,10,0,2,0,0,0,0
RYAN SCOTT,Auburn University,6,D,18,1,9,10,1,4,0,1,2,0
BENJAMIN WINES,Liberty University,3,D,23,1,9,10,0,1,0,1,9,0
BRYSON PETTREY,Old Dominion University,14,F,14,9,0,9,2,0,0,0,25,1
THOMAS AMMON,Alfred State College,19,F,12,8,1,9,1,1,1,0,25,0
JACK KUCHARSKI,Union College,"10, 24",F,8,7,2,9,0,0,0,0,2,1
LOGAN RUTT,Florida Institute of Technology - FCHC,63,F,10,7,2,9,3,1,0,0,2,0
ANTHONY BOROMEI,Florida State University,"15, 24, 28",C,16,7,2,9,5,0,0,0,70,0
NICHOLAS SOLARINO,Florida Atlantic University,"24, 69",C,22,7,2,9,1,1,0,0,15,0
BRYAN SCHUMAN,Alfred State College,37,C,12,6,3,9,2,1,0,0,4,1
CHANCE UBEL,SUNY Cortland,29,F,13,6,3,9,2,1,1,0,19,0
JAXON RATHERT,Middle Tennessee State University,15,D,17,6,3,9,2,0,0,0,28,1
RYAN GLASS,Mass Maritime Academy,5,D,18,6,3,9,1,0,0,0,23,0
TREVOR WOODALL,University of South Florida,12,F,23,6,3,9,1,2,0,0,4,0
VINNIE MCALLISTER,Anna Maria College,11,F,8,5,4,9,0,0,0,0,11,1
BRENDAN MALLOY,Mercyhurst University,7,F,13,5,4,9,0,1,0,0,0,0
DREW ROUSSEAU,Southern Connecticut State University,19,F,15,5,4,9,0,1,2,0,8,0
DUSTYN PERONA,"Embry-Riddle University - FCHC , Embry-Riddle University","26, 8",F,17,5,4,9,2,1,0,0,4,0
Embry-Riddle University - FCHC,26,F,2,1,1,2,1,0,0,0,0,0,
Embry-Riddle University,"26, 8",F,15,4,3,7,1,1,0,0,4,0,
ROBBIE SPADETTI,University of Mississippi,"15, 26, 34",F,18,5,4,9,0,1,0,0,4,0
EAMON CROUCHER,Fordham University,24,D,19,5,4,9,3,1,0,0,21,0
DYLAN KINZER,Hofstra University,27,D,21,5,4,9,2,2,0,0,33,0
DAVID LYTLE,Embry-Riddle University,2,F,28,5,4,9,1,1,1,0,15,0
JACK FEOLA,Alfred State College,44,C,9,4,5,9,3,0,0,1,0,1
BRETT DOUGHERTY,University of Mississippi,19,C,10,4,5,9,0,2,1,0,13,0
MATTHEW SIDUN,Mercyhurst University,16,"C, F",10,4,5,9,3,1,0,0,6,0
NICHOLAS CHESARE,Clemson University,18,C,10,4,5,9,1,1,0,0,14,0
CORY FOSTER,University of Binghamton,54,LW,11,4,5,9,0,0,1,0,2,0
